Country Code;Country Name;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;1950;1949;1948;1947;1946;1945;1944;1943;1942;1941;1940;1939;1938;1937;1936;1935;1934;1933;1932;1931;1930;1929;1928;1927;1926;1925;1924;1923;1922;1921;1920;1919;1918;1917;1916;1915;1914;1913;1912;1911;1910;1909;1908;1907;1906;1905;1904;1903;1902;1901;1900
DMA;DOMINICA;;;;96;;;;0;;;0;;;0;;315;;;;5000;;;;;;0;;;;;0;;;;0;0;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOM;DOMINICAN REP;;0;11500;0;0;0;0;0;;0;2092;0;0;0;;0;120000;;1000;2500;;0;0;0;;0;0;0;0;0;;0;;0;0;350000;0;;;;;;;;;;0;;5500;0;0;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU;ECUADOR;;0;0;0;500;0;14122;;0;;;0;3027;0;180;2200;750;2009;15525;600;0;0;80000;0;0;0;;150000;;0;;0;0;;0;;;0;25000;0;;30000;;0;27992;0;;400;0;0;0;;;;;;;;;;;0;;;0;0;;;;;;;0;;;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;0;;0;;;;
EGY;EGYPT;;;;;0;;625;;0;;0;;0;;0;;;0;0;3000;50000;0;25020;200;;;;0;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
SLV;EL SALVADOR;;0;;0;2800;15000;0;0;0;0;;0;0;0;0;0;0;2000;0;0;0;0;0;0;;0;0;;250000;;;;2500;;;;;;;;;;;;;0;;;;48000;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;
GNQ;EQUATORIAL GUINEA;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERI;ERITREA;;;;;;;0;;;;0;0;;;;0;;;;0;;15659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EST;ESTONIA;;;0;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;ETHIOPIA;;0;0;0;0;0;810;0;0;0;;0;0;0;165;125000;0;0;25000;0;19;4800;0;0;0;0;0;0;0;20000;;0;;0;0;;0;0;20000;;;0;;;0;420;6000;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;0;0;;;;;;;0;;;;;;
FJI;FIJI;;;0;;0;0;0;0;0;0;0;0;;0;0;1772;0;0;;;;10000;0;;3000;0;;0;0;0;;0;;0;7000;15000;0;;;0;;0;0;;;;;;;0;10000;;;;;;0;;;;;;0;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
